Number,Name,Type 1,Type 2,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Catch Rate,Height,Weight,BMI
51.0,Alolan Dugtrio,Ground,Steel,"['Sand Force', 'Sand Veil', 'Tangling Hair']",35.0,100.0,412.7728230855655,50.0,70.0,110.0,425.0,70.8333333333333,26.5230507713992,,Medium Fast,50.0,0.7,66.6,135.9
52.0,Meowth,Normal,,"['Pickup', 'Technician', 'Unnerve']",40.0,45.0,35.0,40.0,40.0,90.0,290.0,48.3333333333333,18.8561808316413,1.0,Medium Fast,255.0,0.4,4.2,26.3
52.0,Alolan Meowth,Dark,,"['Pickup', 'Rattled', 'Technician']",40.0,35.0,35.0,50.0,40.0,90.0,290.0,48.3333333333333,19.2930615046504,7.0,Medium Fast,255.0,0.4,4.2,26.3
52.0,Galarian Meowth,Steel,,"['Pickup', 'Tough Claws', 'Unnerve']",50.0,65.0,55.0,40.0,40.0,40.0,290.0,48.3333333333333,9.42809041582063,8.0,Medium Fast,255.0,0.4,7.5,46.9
53.0,Persian,Normal,,"['Limber', 'Technician', 'Unnerve']",65.0,70.0,60.0,65.0,65.0,115.0,440.0,73.3333333333333,18.8561808316413,1.0,Medium Fast,90.0,1.0,32.0,32.0
53.0,Alolan Persian,Dark,,"['Fur Coat', 'Rattled', 'Technician']",65.0,60.0,60.0,75.0,65.0,115.0,440.0,73.3333333333333,19.2930615046504,7.0,Medium Fast,90.0,1.1,33.0,254.71471237680214
54.0,Psyduck,Water,,"['Cloud Nine', 'Damp', 'Swift Swim']",50.0,52.0,48.0,65.0,50.0,55.0,320.0,53.3333333333333,5.64702478203247,1.0,Medium Fast,190.0,0.8,19.6,30.6
55.0,Golduck,Water,,"['Cloud Nine', 'Damp', 'Swift Swim']",80.0,82.0,78.0,95.0,80.0,85.0,500.0,83.3333333333333,5.64702478203247,1.0,Medium Fast,75.0,1.7,76.6,26.5
56.0,Mankey,Fighting,,"['Anger Point', 'Defiant', 'Vital Spirit']",40.0,80.0,35.0,35.0,45.0,70.0,305.0,50.8333333333333,17.6580167503476,1.0,Medium Fast,190.0,0.5,28.0,112.0
57.0,Primeape,Fighting,,"['Anger Point', 'Defiant', 'Vital Spirit']",65.0,105.0,60.0,60.0,70.0,95.0,455.0,75.8333333333333,17.6580167503476,1.0,Medium Fast,75.0,1.0,32.0,32.0
58.0,Growlithe,Fire,,"['Flash Fire', 'Intimidate', 'Justified']",55.0,70.0,45.0,70.0,50.0,60.0,350.0,58.3333333333333,9.42809041582063,1.0,Slow,190.0,0.7,19.0,38.8
59.0,Arcanine,Fire,,"['Flash Fire', 'Intimidate', 'Justified']",90.0,110.0,80.0,100.0,80.0,95.0,555.0,92.5,10.7043604822209,1.0,Slow,75.0,1.9,155.0,42.9
60.0,Poliwag,Water,,"['Damp', 'Swift Swim', 'Water Absorb']",40.0,50.0,40.0,40.0,40.0,90.0,300.0,50.0,18.2574185835055,1.0,Medium Slow,255.0,0.6,12.4,34.4
61.0,Poliwhirl,Water,,"['Damp', 'Swift Swim', 'Water Absorb']",65.0,65.0,65.0,50.0,50.0,90.0,385.0,64.1666666666667,13.3593496182345,1.0,Medium Slow,120.0,1.0,20.0,20.0
62.0,Poliwrath,Water,Fighting,"['Damp', 'Swift Swim', 'Water Absorb']",90.0,95.0,95.0,70.0,90.0,70.0,510.0,-85.0,10.8012344973464,1.0,Medium Slow,45.0,1.3,54.0,32.0
63.0,Abra,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",25.0,20.0,15.0,105.0,55.0,90.0,310.0,51.6666666666667,35.0792752997486,1.0,Medium Slow,200.0,-8.712069085311636,19.5,24.1
64.0,Kadabra,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",40.0,35.0,30.0,120.0,70.0,105.0,400.0,66.6666666666667,35.0792752997486,1.0,Medium Slow,100.0,1.3,56.5,33.4
65.0,Alakazam,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",55.0,50.0,45.0,135.0,95.0,120.0,500.0,83.3333333333333,35.4338193757822,1.0,Medium Slow,50.0,1.5,-48.0,21.3
65.0,Mega Alakazam,Psychic,,['Trace'],55.0,50.0,65.0,175.0,95.0,150.0,590.0,98.3333333333333,48.1028989655394,6.0,Medium Slow,50.0,1.2,48.0,33.3
66.0,Machop,Fighting,,"['Guts', 'No Guard', 'Steadfast']",70.0,80.0,50.0,35.0,35.0,35.0,305.0,50.8333333333333,18.123802642443,1.0,Medium Slow,180.0,0.8,19.5,30.5
67.0,Machoke,Fighting,,"['Guts', 'No Guard', 'Steadfast']",80.0,100.0,70.0,50.0,60.0,45.0,405.0,67.5,18.6525244046662,1.0,Medium Slow,90.0,1.5,70.5,31.3
68.0,Machamp,Fighting,,"['Guts', 'No Guard', 'Steadfast']",90.0,130.0,80.0,65.0,85.0,55.0,505.0,84.1666666666667,23.7024377555465,1.0,Medium Slow,45.0,1.6,130.0,50.8
69.0,Bellsprout,Grass,Poison,"['Chlorophyll', 'Gluttony']",50.0,75.0,35.0,70.0,30.0,40.0,300.0,50.0,-100.17916589303387,1.0,Medium Slow,255.0,0.7,4.0,8.2
70.0,Weepinbell,Grass,Poison,"['Chlorophyll', 'Gluttony']",65.0,90.0,50.0,85.0,45.0,55.0,390.0,65.0,17.0782512765993,1.0,Medium Slow,120.0,,6.4,6.4
71.0,Victreebel,Grass,Poison,"['Chlorophyll', 'Gluttony']",80.0,105.0,65.0,100.0,70.0,70.0,490.0,81.6666666666667,15.4560308258262,1.0,Medium Slow,45.0,1.7,15.5,5.4
72.0,Tentacool,Water,Poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40.0,40.0,35.0,50.0,100.0,70.0,335.0,55.8333333333333,22.8065536390067,1.0,Slow,190.0,0.9,45.5,56.2
73.0,Tentacruel,Water,Poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",80.0,70.0,65.0,80.0,120.0,100.0,515.0,85.8333333333333,18.8008569544641,1.0,Slow,60.0,1.6,55.0,21.5
74.0,Geodude,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",40.0,80.0,100.0,30.0,30.0,20.0,300.0,50.0,29.4392028877595,1.0,Medium Slow,255.0,0.4,20.0,125.0
74.0,Alolan Geodude,Rock,Electric,,40.0,80.0,100.0,30.0,30.0,20.0,300.0,50.0,29.4392028877595,7.0,Medium Slow,255.0,0.4,20.3,126.9
75.0,Graveler,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",55.0,95.0,115.0,45.0,45.0,35.0,390.0,65.0,29.4392028877595,1.0,Medium Slow,120.0,1.0,105.0,105.0
75.0,Alolan Graveler,Rock,Electric,"['Galvanize', 'Magnet Pull', 'Sturdy']",55.0,95.0,115.0,45.0,45.0,35.0,390.0,65.0,29.4392028877595,7.0,Medium Slow,120.0,1.0,110.0,110.0
76.0,Golem,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",80.0,120.0,130.0,55.0,65.0,45.0,495.0,82.5,31.9830684373258,1.0,Medium Slow,45.0,1.4,300.0,153.1
76.0,Alolan Golem,Rock,Electric,"['Galvanize', 'Magnet Pull', 'Sturdy']",80.0,120.0,130.0,55.0,65.0,45.0,495.0,82.5,31.9830684373258,7.0,Medium Slow,45.0,1.7,316.0,109.3
77.0,Ponyta,Fire,,"['Flame Body', 'Flash Fire', 'Run Away']",50.0,85.0,55.0,65.0,65.0,90.0,410.0,68.3333333333333,14.6249406456535,1.0,Medium Fast,190.0,1.0,30.0,30.0
77.0,Galarian Ponyta,Psychic,,"['Anticipation', 'Pastel Veil', 'Run Away']",50.0,85.0,55.0,65.0,65.0,90.0,410.0,68.3333333333333,14.6249406456535,8.0,Medium Fast,190.0,0.8,24.0,37.5
78.0,Rapidash,Fire,,"['Flame Body', 'Flash Fire', 'Run Away']",65.0,100.0,70.0,80.0,80.0,105.0,500.0,83.3333333333333,14.6249406456535,1.0,Medium Fast,60.0,1.7,95.0,32.9
78.0,Galarian Rapidash,Psychic,Fairy,"['Anticipation', 'Pastel Veil', 'Run Away']",65.0,100.0,70.0,80.0,80.0,105.0,500.0,83.3333333333333,14.6249406456535,8.0,Medium Fast,60.0,1.7,80.0,27.7
79.0,Slowpoke,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",90.0,65.0,65.0,40.0,40.0,15.0,315.0,52.5,23.9356776939085,1.0,Medium Fast,190.0,1.2,36.0,25.0
79.0,Galarian Slowpoke,Psychic,,"['Gluttony', 'Own Tempo', 'Regenerator']",90.0,65.0,65.0,40.0,40.0,15.0,315.0,52.5,23.9356776939085,8.0,Medium Fast,190.0,1.2,36.0,25.0
80.0,Slowbro,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95.0,75.0,110.0,100.0,80.0,30.0,490.0,81.6666666666667,25.9272486435067,1.0,Medium Fast,75.0,1.6,78.5,30.7
80.0,Mega Slowbro,Water,Psychic,['Shell Armor'],95.0,75.0,180.0,130.0,80.0,30.0,590.0,98.3333333333333,46.9633426786846,6.0,Medium Fast,75.0,2.0,120.0,30.0
80.0,Galarian Slowbro,Poison,Psychic,"['Own Tempo', 'Quick Draw', 'Regenerator']",95.0,100.0,95.0,100.0,70.0,30.0,490.0,81.6666666666667,25.2762514801718,8.0,Medium Fast,75.0,1.6,70.5,27.5
81.0,Magnemite,Electric,Steel,"['Analytic', 'Magnet Pull', 'Sturdy']",25.0,35.0,70.0,95.0,55.0,45.0,325.0,54.1666666666667,23.1690646240964,1.0,Medium Fast,190.0,0.3,6.0,66.7
82.0,Magneton,Electric,Steel,"['Analytic', 'Magnet Pull', 'Sturdy']",50.0,60.0,95.0,120.0,70.0,70.0,465.0,77.5,-84.56880901720895,1.0,Medium Fast,60.0,1.0,60.0,60.0
83.0,Farfetch'd,Normal,Flying,"['Defiant', 'Inner Focus', 'Keen Eye']",52.0,90.0,55.0,58.0,62.0,60.0,377.0,62.8333333333333,12.5753285797584,1.0,Medium Fast,45.0,0.8,15.0,-23.4
83.0,Galarian Farfetch'd,Fighting,,"['Scrappy', 'Steadfast']",52.0,95.0,55.0,58.0,62.0,55.0,377.0,62.8333333333333,14.7129950119689,8.0,Medium Fast,45.0,0.8,42.0,65.6
84.0,Doduo,Normal,Flying,"['Early Bird', 'Run Away', 'Tangled Feet']",35.0,85.0,45.0,35.0,35.0,75.0,310.0,51.6666666666667,20.5480466765633,1.0,Medium Fast,190.0,1.4,39.2,20.0
85.0,Dodrio,Normal,Flying,"['Early Bird', 'Run Away', 'Tangled Feet']",60.0,110.0,70.0,60.0,60.0,110.0,470.0,78.3333333333333,22.6691175145591,1.0,Medium Fast,45.0,1.8,85.2,26.3
86.0,Seel,Water,,"['Hydration', 'Ice Body', 'Thick Fat']",65.0,45.0,55.0,45.0,70.0,45.0,325.0,54.1666666666667,10.1721296797781,1.0,Medium Fast,190.0,1.1,90.0,74.4
87.0,Dewgong,Water,Ice,"['Hydration', 'Ice Body', 'Thick Fat']",90.0,70.0,80.0,70.0,95.0,499.2126198385399,475.0,79.1666666666667,10.1721296797781,1.0,Medium Fast,75.0,1.7,120.0,41.5
88.0,Grimer,Poison,,"['Poison Touch', 'Stench', 'Sticky Hold']",80.0,80.0,50.0,40.0,50.0,25.0,325.0,54.1666666666667,20.0866179886566,1.0,Medium Fast,190.0,0.9,30.0,37.0
88.0,Alolan Grimer,Poison,Dark,"['Gluttony', 'Poison Touch', 'Power of Alchemy']",80.0,80.0,50.0,40.0,50.0,25.0,325.0,54.1666666666667,20.0866179886566,7.0,Medium Fast,190.0,0.7,42.0,85.7
89.0,Muk,Poison,,"['Poison Touch', 'Stench', 'Sticky Hold']",105.0,105.0,75.0,65.0,100.0,50.0,500.0,83.3333333333333,21.3437474581095,1.0,Medium Fast,75.0,1.2,30.0,20.8
89.0,Alolan Muk,Poison,Dark,"['Gluttony', 'Poison Touch', 'Power of Alchemy']",105.0,105.0,75.0,65.0,100.0,50.0,500.0,83.3333333333333,21.3437474581095,7.0,Medium Fast,75.0,1.0,52.0,52.0
90.0,Shellder,Water,,"['Overcoat', 'Shell Armor', 'Skill Link']",30.0,65.0,100.0,45.0,25.0,40.0,305.0,50.8333333333333,25.399584423547,1.0,Slow,190.0,0.3,4.0,44.4
91.0,Cloyster,Water,Ice,"['Overcoat', 'Shell Armor', 'Skill Link']",50.0,95.0,180.0,85.0,45.0,70.0,525.0,87.5,44.9768458950455,1.0,Slow,60.0,1.5,132.5,58.9
92.0,Gastly,Ghost,Poison,['Levitate'],30.0,35.0,30.0,100.0,35.0,80.0,310.0,51.6666666666667,27.7888866675551,1.0,Medium Slow,190.0,1.3,0.1,0.1
93.0,Haunter,Ghost,Poison,['Levitate'],45.0,50.0,45.0,115.0,55.0,95.0,405.0,67.5,27.3480651357032,1.0,Medium Slow,90.0,1.6,0.1,0.0
94.0,Gengar,Ghost,Poison,['Cursed Body'],60.0,65.0,60.0,-352.7235077641912,75.0,110.0,500.0,83.3333333333333,27.0287912337114,1.0,Medium Slow,45.0,1.5,40.5,18.0
94.0,Mega Gengar,Ghost,Poison,['Shadow Tag'],-60.0,65.0,80.0,170.0,95.0,130.0,600.0,100.0,38.8372673257701,6.0,Medium Slow,45.0,1.4,40.5,20.7
95.0,Onix,Rock,Ground,"['Rock Head', 'Sturdy', 'Weak Armor']",35.0,45.0,160.0,30.0,45.0,70.0,385.0,64.1666666666667,44.666977610858,1.0,Medium Fast,45.0,8.8,210.0,2.7
96.0,Drowzee,Psychic,,"['Forewarn', 'Inner Focus', 'Insomnia']",60.0,48.0,45.0,43.0,90.0,42.0,328.0,54.6666666666667,16.8885233878579,1.0,Medium Fast,190.0,1.0,32.4,32.4
